iter	RMSE
0	1.247423005
1	1.242945145
2	1.238540668
3	1.234196447
4	1.229932437
5	1.225725601
6	1.221588233
7	1.217518002
8	1.213497508
9	1.20954404
10	1.205657477
11	1.201827298
12	1.198031833
13	1.194335982
14	1.190684627
15	1.187084027
16	1.183535173
17	1.17999707
18	1.176519028
19	1.173136214
20	1.169773427
21	1.166463959
22	1.16317108
23	1.15996304
24	1.15683271
25	1.153709191
26	1.150634192
27	1.14763746
28	1.144696072
29	1.141734275
30	1.138824648
31	1.135991051
32	1.133169803
33	1.130408671
34	1.127675028
35	1.125008892
36	1.12235937
37	1.11977569
38	1.117221502
39	1.114696824
40	1.112198601
41	1.109742423
42	1.107332058
43	1.104978611
44	1.10264532
45	1.100366196
46	1.098107305
47	1.095895877
48	1.093696164
49	1.091534715
50	1.08941357
51	1.087315013
52	1.085205203
53	1.083176011
54	1.081188169
55	1.079215825
56	1.07727752
57	1.075373044
58	1.073497663
59	1.071641808
60	1.069804949
61	1.068010572
62	1.066239406
63	1.06450836
64	1.062741873
65	1.061015288
66	1.059361063
67	1.057684043
68	1.056067352
69	1.054467529
70	1.05290482
71	1.051338111
72	1.049776921
73	1.048278198
74	1.046755408
75	1.045284577
76	1.043819376
77	1.042409198
78	1.040983929
79	1.039625277
80	1.038240127
81	1.036877729
82	1.035534336
83	1.034171724
84	1.032867851
85	1.031591452
86	1.030349905
87	1.029110408
88	1.027879328
89	1.026688538
90	1.02550753
91	1.024354223
92	1.02319596
93	1.02206671
94	1.020964957
95	1.019836509
96	1.018737729
97	1.01760834
98	1.016532646
99	1.015491518
100	1.014480428
101	1.0134867
102	1.012474497
103	1.011486359
104	1.010511058
105	1.009538738
106	1.008611988
107	1.007683119
108	1.006778651
109	1.005866453
110	1.004968522
111	1.004087886
112	1.003237065
113	1.002363447
114	1.001528134
115	1.000697905
116	0.9998690007
117	0.9990636392
118	0.998258501
119	0.9974846175
120	0.996723811
121	0.9959501052
122	0.9951989689
123	0.9944524996
124	0.9937291244
125	0.9930079524
126	0.9922806895
127	0.9915770265
128	0.9908975578
129	0.9902261363
130	0.9895593888
131	0.9889071135
132	0.9882584275
133	0.9876210904
134	0.9869920089
135	0.9863728014
136	0.9857320334
137	0.9851323074
138	0.9845335499
139	0.9839500157
140	0.9833399183
141	0.9827711847
142	0.9821776571
143	0.9815095085
144	0.9808782755
145	0.9803352329
146	0.9797718568
147	0.9792431966
148	0.9786973875
149	0.9781564031
150	0.9776472701
151	0.9771183823
152	0.976597565
153	0.9760864754
154	0.9755921187
155	0.9750346968
156	0.9745380368
157	0.9740652068
158	0.9735784712
159	0.9729368124
160	0.9724828785
161	0.9720041449
162	0.971539708
163	0.9710818431
164	0.9706483082
165	0.9702024692
166	0.9697544574
167	0.9693115741
168	0.9688830106
169	0.9684049753
170	0.9679877299
171	0.9675673413
172	0.9671541302
173	0.9667446587
174	0.966348175
175	0.9657866254
176	0.9653972996
177	0.9650075727
178	0.9646178346
179	0.9642548687
180	0.9638938738
181	0.9635154139
182	0.9631534749
183	0.9627897642
184	0.9624281387
185	0.9620764544
186	0.9617255073
187	0.9613882866
188	0.961054997
189	0.9607113682
190	0.9603831014
191	0.9600499232
192	0.959723577
193	0.9594031044
194	0.9590857399
195	0.958782877
196	0.9584724379
197	0.958174664
198	0.9578790649
199	0.957412601
200	0.9571188937
201	0.9567982366
202	0.9565055151
203	0.9562153207
204	0.955934888
205	0.9555523974
206	0.9551109974
207	0.9548284012
208	0.9543975728
209	0.9539693627
210	0.9537088126
211	0.9534434917
212	0.9531842261
213	0.9529235184
214	0.952669854
215	0.9524081349
216	0.9521581083
217	0.951905048
218	0.9516608974
219	0.9512607739
220	0.9510246884
221	0.950783025
222	0.9505598352
223	0.9503320526
224	0.9500918222
225	0.9498639786
226	0.9496369197
227	0.9492547745
228	0.9490389962
229	0.9488299708
230	0.9486016215
231	0.9483549862
232	0.9481480379
233	0.9479364514
234	0.9477255088
235	0.9473704646
236	0.9471629385
237	0.9468117421
238	0.9466034287
239	0.9464114261
240	0.9462069333
241	0.945882063
242	0.9456888943
243	0.9454956605
244	0.9453067695
245	0.9451161417
246	0.9449226772
247	0.9447476729
248	0.9445451873
249	0.9443054752
250	0.9441151462
251	0.9439445551
252	0.9436369916
253	0.9434659625
254	0.9432899224
255	0.9431085241
256	0.9429210193
257	0.9427521054
258	0.9424613541
259	0.9423002697
260	0.9420150838
261	0.9417519116
262	0.9415933259
263	0.9413304426
264	0.9410764951
265	0.9408010538
266	0.9405374797
267	0.9403848702
268	0.9401307001
269	0.9399787652
270	0.9398290866
271	0.9396769281
272	0.9394371602
273	0.9391788064
274	0.9390343548
275	0.9388950714
276	0.9387582667
277	0.9386086922
278	0.9384738935
279	0.9382366966
280	0.9380093485
281	0.9377705678
282	0.9376388446
283	0.9374287876
284	0.9372995272
285	0.9371711058
286	0.9370291513
287	0.9368043173
288	0.9365926806
289	0.9364705624
290	0.9362475381
291	0.9361129737
292	0.9359749784
293	0.935846581
294	0.9357083089
295	0.9355889681
296	0.9354719084
297	0.9352760348
298	0.9351415257
299	0.9349370529
300	0.9348059684
301	0.9346161384
302	0.9344969536
303	0.9343698181
304	0.9341825046
305	0.9340597962
306	0.933949755
307	0.9338418136
308	0.9337328696
309	0.9336307678
310	0.9335121622
311	0.9334065209
312	0.9332989109
313	0.9331222003
314	0.9330037579
315	0.9328913778
316	0.9327804202
317	0.9325867991
318	0.9324163106
319	0.9323098194
320	0.9322089783
321	0.9320360201
322	0.9319305626
323	0.9318342929
324	0.9317322166
325	0.931571554
326	0.9314701745
327	0.9313131099
328	0.9312182944
329	0.9310636424
330	0.9309629208
331	0.9307949506
332	0.9307064959
333	0.9305577008
334	0.9304707305
335	0.9303779022
336	0.9302341494
337	0.9300835676
338	0.9299977896
339	0.9299024255
340	0.9297521213
341	0.9296637864
342	0.9295812532
343	0.9294590946
344	0.9293705719
345	0.9292797036
346	0.9291610549
347	0.9290790831
348	0.929007573
349	0.9288748729
350	0.9287841326
351	0.9285257345
352	0.9283872743
353	0.9283120243
354	0.9281710511
355	0.9280912324
356	0.9280075573
357	0.9279108997
358	0.9278319166
359	0.9277532132
360	0.9276820501
361	0.9276028033
362	0.9273552274
363	0.9272766209
364	0.927198548
365	0.9269569088
366	0.9268497818
367	0.926776713
368	0.9266629596
369	0.9265890476
370	0.926517342
371	0.9264434766
372	0.9263671293
373	0.926293373
374	0.9262229247
375	0.9261534176
376	0.9260408161
377	0.9259654698
378	0.9258920989
379	0.9257938278
380	0.9257342279
381	0.9256588969
382	0.9255918171
383	0.9255233841
384	0.9252943168
385	0.9252271056
386	0.9250029896
387	0.9249311831
388	0.9248353381
389	0.9247734767
390	0.9247088558
391	0.9246375266
392	0.9245771456
393	0.924518951
394	0.9243016099
395	0.9242379698
396	0.9241771271
397	0.9241088483
398	0.9240477892
399	0.9239869651
400	0.9239275334
401	0.9238669576
402	0.9236557193
403	0.9235384362
404	0.9234790383
405	0.9234159355
406	0.9233558693
407	0.9232494073
408	0.9231794263
409	0.9231148087
410	0.9230273567
411	0.9229339545
412	0.9228811454
413	0.9228080176
414	0.9227517991
415	0.9226951905
416	0.9226431458
417	0.9225341751
418	0.9224705178
419	0.9223867779
420	0.9223343123
421	0.922135575
422	0.922054672
423	0.9219774469
424	0.9219235802
425	0.9218726489
426	0.9218229293
427	0.9217188584
428	0.9216650407
429	0.921612242
430	0.9215535231
431	0.9213615367
432	0.9212624972
433	0.9211207225
434	0.9210642677
435	0.9208783749
436	0.9208058823
437	0.9207498501
438	0.920691538
439	0.9206343738
440	0.9205865943
441	0.9205383438
442	0.920464873
443	0.9204205655
444	0.920349927
445	0.9202961505
446	0.9202502539
447	0.9202033951
448	0.9201113017
449	0.920018953
450	0.9199614462
451	0.9198979202
452	0.9198165035
453	0.9197728537
454	0.9197260789
455	0.9196813658
456	0.9196388186
457	0.9196004365
458	0.9195555944
459	0.9195143962
460	0.9194680714
461	0.9193904682
462	0.9193446551
463	0.9193056308
464	0.9192626765
465	0.9192255786
466	0.9191843337
467	0.9191406872
468	0.9190995024
469	0.9190635106
470	0.9188868795
471	0.9188460279
472	0.9188076348
473	0.9187539663
474	0.9187040353
475	0.9184656302
476	0.9184195666
477	0.9183470513
478	0.9182700846
479	0.9182326673
480	0.9181345861
481	0.9180985398
482	0.9180563527
483	0.9178893361
484	0.9178508763
485	0.9178132121
486	0.9176811475
487	0.9176412752
488	0.9176061571
489	0.9175654334
490	0.9175250083
491	0.9174798412
492	0.9172535502
493	0.9172137981
494	0.917167799
495	0.9170087301
496	0.9169642966
497	0.9169189538
498	0.9168440919
499	0.9167177486
