,item_name,item_id,item_category_id,item_name_en
0,! ВО ВЛАСТИ НАВАЖДЕНИЯ (ПЛАСТ.)         D,0,40,! IN THE POWER OF NAVIGATION (PLASTIC) D
1,"!ABBYY FineReader 12 Professional Edition Full [PC, Цифровая версия]",1,76,"! ABBYY FineReader 12 Professional Edition Full [PC, Digital]"
2,***В ЛУЧАХ СЛАВЫ   (UNV)                    D,2,40,*** IN THE BEAM OF GLORY (UNV) D
3,***ГОЛУБАЯ ВОЛНА  (Univ)                      D,3,40,*** BLUE WAVE (Univ) D
4,***КОРОБКА (СТЕКЛО)                       D,4,40,*** BOX (GLASS) D
5,***НОВЫЕ АМЕРИКАНСКИЕ ГРАФФИТИ  (UNI)             D,5,40,*** NEW AMERICAN GRAFFITI (UNI) D
6,***УДАР ПО ВОРОТАМ (UNI)               D,6,40,*** IMPACT ON GATE (UNI) D
7,***УДАР ПО ВОРОТАМ-2 (UNI)               D,7,40,*** IMPACT ON GATE-2 (UNI) D
8,***ЧАЙ С МУССОЛИНИ                     D,8,40,*** TEA WITH MUSSOLINI D
9,***ШУГАРЛЭНДСКИЙ ЭКСПРЕСС (UNI)             D,9,40,*** SUGARLAND EXPRESS (UNI) D
10,*ЗА ГРАНЬЮ СМЕРТИ                       D,10,40,* BEYOND DEATH D
11,*ЛИНИЯ СМЕРТИ                           D,11,40,* DEATH LINE D
12,*МИХЕЙ И ДЖУМАНДЖИ  Сука любовь,12,55,* MIHEI AND JUMANJI Bitch love
13,*СПАСАЯ ЭМИЛИ                           D,13,40,* SAVING EMILY D
14,*ЧОКНУТЫЙ ПРОФЕССОР /МАГИЯ/             D,14,40,* NICK PROFESSOR / MAGIC / D
15,//АДРЕНАЛИН: ОДИН ПРОТИВ ВСЕХ (Регион),15,40,// ADRENALIN: ONE AGAINST ALL (Region)
16,//МОНГОЛ С.Бодров (Регион),16,40,// MONGOL S. Bodrov (Region)
17,//НЕ ОСТАВЛЯЮЩИЙ СЛЕДА (Регион),17,40,// NOT LEAVING A TRACE (Region)
18,/БОМБА ДЛЯ НЕВЕСТЫ /2DVD/               D,18,40,/ BRIDE BOMB / 2DVD / D
19,/ЗОЛОТАЯ КОЛЛЕКЦИЯ м/ф-72,19,40,/ GOLDEN COLLECTION m / f-72
20,/ОДНАЖДЫ В КИТАЕ-2,20,40,/ ONCE IN CHINA-2
21,/ПОСЛЕДНИЙ ШАНС,21,40,/THE LAST CHANCE
22,/ПРОКЛЯТЬЕ ЭЛЬ ЧАРРО,22,40,/ THE CURSE OF EL CHARRO
23,/СЕВЕР И ЮГ /Ч.2/,23,40,/ NORTH AND SOUTH /P.2/
24,/СМЕРТЕЛЬНЫЙ РАСКЛАД,24,40,/ DEADLINE
25,/ТЫ  - ТРУП,25,40,/YOU'RE DEAD
26,/УМНОЖАЮЩИЙ ПЕЧАЛЬ т.2 (сер.3-4),26,40,/ MULTIPLICING SADNESS vol.2 (ser. 3-4)
27,"007 Legends [PS3, русская версия]",27,19,007 Legends [PS3 Russian Version]
28,"007 Legends [PС, Jewel, русская версия]",28,30,"007 Legends [PC, Jewel, Russian version]"
29,"007 Legends [Xbox 360, русская версия]",29,23,007 Legends [Xbox 360 Russian version]
30,007: КООРДИНАТЫ «СКАЙФОЛЛ»,30,40,007: SKYFALL COORDINATES
31,007: КООРДИНАТЫ «СКАЙФОЛЛ» (BD),31,37,007: SKYFALL COORDINATES (BD)
32,1+1,32,40,1 + 1
33,1+1 (BD),33,37,1 + 1 (BD)
34,10 000 ЛЕТ ДО НАШЕЙ ЭРЫ WB (регион),34,40,"10,000 BC WB (region)"
35,10 ЛЕТ СПУСТЯ,35,40,10 YEARS LATER
36,10 ЛЕТ СПУСТЯ (BD),36,37,10 YEARS LATER (BD)
37,10 ЛЕТ СПУСТЯ (регион),37,40,10 YEARS LATER (region)
38,10 САМЫХ ПОПУЛЯРНЫХ КИНОКОМЕДИЙ ХХ ВЕКА  10DVD (rem),38,41,10 MOST POPULAR MOVIE COMMODIES OF THE XX CENTURY 10DVD (rem)
39,10 САМЫХ ПОПУЛЯРНЫХ ОТЕЧЕСТВЕННЫХ КОМЕДИЙ ХХ ВЕКА (BD),39,41,10 MOST POPULAR DOMESTIC COMEDIES OF THE 20TH CENTURY (BD)
40,100 Best classical melodies (mp3-CD) (Digipack),40,57,100 Best classical melodies (mp3-CD) (Digipack)
41,100 Best relax melodies (mp3-CD) (CD-Digipack),41,57,100 Best relax melodis (mp3-SD) (SD-Digipakk)
42,100 Best romantic melodies (mp3-CD) (Digipack),42,57,100 Best romantic melodis (mp3-SD) (Digipakk)
43,100 МИЛЛИОНОВ ЕВРО,43,40,100 MILLION EUROS
44,100 лучших мелодий против стресса (mp3-CD) (CD-Digipack),44,57,Top 100 Anti-Stress Ringtones (mp3-CD) (CD-Digipack)
45,100 лучших народных песен (mp3-CD) (CD-Digipack),45,57,Top 100 Folk Songs (mp3-CD) (CD-Digipack)
46,100 лучших произведений Баха (mp3-CD) (Digipack),46,57,Top 100 Bach Works (mp3-CD) (Digipack)
47,100 лучших произведений Бетховена (mp3-CD) (Digipack),47,57,Beethoven's 100 best works (mp3-CD) (Digipack)
48,100 лучших произведений Вивальди (mp3-CD) (CD-Digipack),48,57,Top 100 Vivaldi Works (mp3-CD) (CD-Digipack)
49,100 лучших произведений Моцарта (mp3-CD) (Digipack),49,57,Top 100 Mozart Works (mp3-CD) (Digipack)
50,100 лучших произведений Рахманинова (mp3-CD) (Jewel),50,57,100 best works of Rachmaninoff (mp3-CD) (Jewel)
51,100 лучших произведений классики (mp3-CD) (Digipack),51,57,Top 100 Classics (mp3-CD) (Digipack)
52,100 лучших произведений фортепианной музыки (mp3-CD) (CD-Digipack),52,57,Top 100 Piano Music Works (mp3-CD) (CD-Digipack)
53,100 лучших русских романсов (mp3-CD) (CD-Digipack),53,57,100 Best Russian Romances (mp3-CD) (CD-Digipack)
54,100 лучших цыганских романсов (mp3-CD) (CD-Digipack),54,57,100 Best Gypsy Romances (mp3-CD) (CD-Digipack)
55,100 любимых маленьких сказок (mp3-CD) (Jewel),55,43,100 Favorite Little Tales (mp3-CD) (Jewel)
56,100 любимых песен. Александра Пахмутова (подар. уп.) (mp3-CD) (Jewel),56,57,100 favorite songs. Alexandra Pakhmutova (gift pack) (mp3-CD) (Jewel)
57,100 пудов из мультхитов (подар. уп.) (mp3-CD) (Jewel),57,57,100 poods from multits (gift pack) (mp3-CD) (Jewel)
58,"100 чудес России [PC, Цифровая версия]",58,78,"100 Wonders of Russia [PC, Digital]"
59,100 шедевров классики (mp3-CD) (Digipack),59,57,100 Classical Masterpieces (mp3-CD) (Digipack)
60,1000 английских фраз на все случаи жизни (mp3-CD) (Jewel),60,43,1000 English Phrases for All Occasions (mp3-CD) (Jewel)
61,1000 и одна ночь  2CD (mp3-DVD) (DVD-Book),61,43,1000 and one night 2CD (mp3-DVD) (DVD-Book)
62,10000 ЛЕТ ДО Н.Э. WB (BD),62,37,"10,000 BC WB (BD)"
63,101 ДАЛМАТИНЕЦ  wd,63,40,101 DALMATIAN wd
64,101 ДАЛМАТИНЕЦ 2 м/ф (регион),64,40,101 DALMATIAN 2 m / f (region)
65,101 ДАЛМАТИНЕЦ 2:ПРИКЛЮЧЕНИЯ ПАТЧА В ЛОНДОНЕ (BD),65,37,101 DALMATIANS 2: LONDON PATCH ADVENTURE (BD)
66,101 ДАЛМАТИНЕЦ М/Ф (BD),66,37,101 DALMATIAN M / F (BD)
67,101 ДАЛМАТИНЕЦ м/ф (регион),67,40,101 DALMATIAN m / f (region)
68,"101 Далматинец. Интерактивная сказка [PC-CD, Jewel]",68,30,"101 Dalmatians. Interactive tale [PC-CD, Jewel]"
69,"101 совет начинающим разработчикам в системе ""1С:Предприятие 8""  [Цифровая версия]",69,54,101 tips for novice developers in the 1C: Enterprise 8 system [Digital version]
70,"101 совет начинающим разработчикам в системе ""1С:Предприятие 8"". Хрусталева Е.Ю.",70,49,101 advice to novice developers in the 1C: Enterprise 8 system. Khrustaleva E.Yu.
71,11 ДРУЗЕЙ ОУШЕНА WB (BD),71,37,11 FRIENDS OF OACHEN WB (BD)
72,11 ДРУЗЕЙ ОУШЕНА WB (регион),72,40,11 FRIENDS OF OCHEN WB (region)
73,11-11-11 (регион),73,40,11-11-11 (region)
